contract,operationId,method,path,recordedRequests,accounts,statuses,evidenceTimes
"course.openapi.yaml","courseMaterialMove","POST","/v2/courses/{courseId}/weeks/{weekId}/materials/{materialId}/move","0","","",""
"course.openapi.yaml","courseMaterialPreview","GET","/v2/courses/{courseId}/weeks/{weekId}/materials/{materialId}/preview","0","","",""
"course.openapi.yaml","courseMaterialPublish","POST","/v2/courses/{courseId}/weeks/{weekId}/materials/{materialId}/publish","0","","",""
"course.openapi.yaml","courseMaterialUnpublish","POST","/v2/courses/{courseId}/weeks/{weekId}/materials/{materialId}/unpublish","0","","",""
"course.openapi.yaml","courseWeekPublish","POST","/v2/courses/{courseId}/weeks/{weekId}/publish","0","","",""
"course.openapi.yaml","courseWeekUnpublish","POST","/v2/courses/{courseId}/weeks/{weekId}/unpublish","0","","",""
"course.openapi.yaml","courseDelete","DELETE","/v2/courses/{id}","0","","",""
"course.openapi.yaml","courseGetById","GET","/v2/courses/{id}","3","Instructor 1 | Student","200","2026-09-05T07:08:47.571Z | 2026-09-05T07:09:01.181Z | 2026-09-05T07:09:34.117Z"
"course.openapi.yaml","coursePatch","PATCH","/v2/courses/{id}","0","","",""
"course.openapi.yaml","courseArchive","POST","/v2/courses/{id}/archive","0","","",""
"course.openapi.yaml","courseReassignPrimaryInstructor","POST","/v2/courses/{id}/primary-instructor","0","","",""
"course.openapi.yaml","courseUnarchive","POST","/v2/courses/{id}/unarchive","0","","",""
"course.openapi.yaml","meStudentAlerts","GET","/v2/me/alerts","1","Student","200","2026-09-05T07:08:59.434Z"
"course.openapi.yaml","meAnnouncementsRecent","GET","/v2/me/announcements/recent","0","","",""
"course.openapi.yaml","meAttendanceHistory","GET","/v2/me/attendance","1","Student","200","2026-09-05T07:08:59.907Z"
"course.openapi.yaml","meCalendar","GET","/v2/me/calendar","11","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10 | Student","200","2026-09-05T07:08:47.242Z | 2026-09-05T07:08:47.278Z | 2026-09-05T07:08:51.025Z | 2026-09-05T07:08:51.042Z | 2026-09-05T07:08:53.275Z | 2026-09-05T07:08:53.279Z | 2026-09-05T07:08:55.620Z | 2026-09-05T07:08:55.637Z | 2026-09-05T07:08:57.919Z | 2026-09-05T07:08:57.922Z | 2026-09-05T07:09:00.334Z"
"course.openapi.yaml","meCoursesList","GET","/v2/me/courses","11","Instructor 1 | Instructor 2 | Instructor 4 | Instructor 3 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 10 | Instructor 9 | Student","200","2026-09-05T07:08:45.899Z | 2026-09-05T07:08:45.914Z | 2026-09-05T07:08:49.687Z | 2026-09-05T07:08:49.692Z | 2026-09-05T07:08:51.969Z | 2026-09-05T07:08:51.972Z | 2026-09-05T07:08:54.282Z | 2026-09-05T07:08:54.296Z | 2026-09-05T07:08:56.577Z | 2026-09-05T07:08:56.582Z | 2026-09-05T07:08:58.991Z"
"course.openapi.yaml","meCourseHours","GET","/v2/me/courses/{courseId}/hours","1","Student","200","2026-09-05T07:29:25.091Z"
"course.openapi.yaml","meEventsUpcoming","GET","/v2/me/events/upcoming","1","Student","200","2026-09-05T07:08:59.288Z"
"course.openapi.yaml","listMyPersonalEvents","GET","/v2/me/personal-events","11","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10 | Student","200","2026-09-05T07:08:47.393Z | 2026-09-05T07:08:47.425Z | 2026-09-05T07:08:51.179Z | 2026-09-05T07:08:51.181Z | 2026-09-05T07:08:53.434Z | 2026-09-05T07:08:53.436Z | 2026-09-05T07:08:55.773Z | 2026-09-05T07:08:55.776Z | 2026-09-05T07:08:58.056Z | 2026-09-05T07:08:58.063Z | 2026-09-05T07:09:00.470Z"
"course.openapi.yaml","createMyPersonalEvent","POST","/v2/me/personal-events","1","Instructor 1","200","2026-09-05T07:23:16.173Z"
"course.openapi.yaml","deleteMyPersonalEvent","DELETE","/v2/me/personal-events/{eventId}","1","Instructor 1","200","2026-09-05T07:24:10.303Z"
"course.openapi.yaml","getMyPersonalEvent","GET","/v2/me/personal-events/{eventId}","3","Instructor 2 | Instructor 1","404 | 200","2026-09-05T07:24:10.012Z | 2026-09-05T07:24:10.156Z | 2026-09-05T07:24:10.451Z"
"course.openapi.yaml","patchMyPersonalEvent","PATCH","/v2/me/personal-events/{eventId}","1","Instructor 1","200","2026-09-05T07:24:09.866Z"
"course.openapi.yaml","meProgress","GET","/v2/me/progress","1","Student","200","2026-09-05T07:08:59.612Z"
"course.openapi.yaml","meScheduleRequests","GET","/v2/me/schedule-requests","1","Student","200","2026-09-05T07:09:00.191Z"
"course.openapi.yaml","meListPublishedStudentReports","GET","/v2/me/student-reports","2","Student","200","2026-09-05T07:09:00.052Z | 2026-09-05T07:29:25.232Z"
"course.openapi.yaml","meTeachingActivitiesUpcoming","GET","/v2/me/teaching/activities/upcoming","0","","",""
"course.openapi.yaml","meTeachingActivityRecent","GET","/v2/me/teaching/activity/recent","0","","",""
"course.openapi.yaml","meTeachingAlerts","GET","/v2/me/teaching/alerts","11","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.551Z | 2026-09-05T07:08:46.572Z | 2026-09-05T07:08:50.259Z | 2026-09-05T07:08:50.263Z | 2026-09-05T07:08:52.550Z | 2026-09-05T07:08:52.559Z | 2026-09-05T07:08:54.899Z | 2026-09-05T07:08:54.932Z | 2026-09-05T07:08:57.179Z | 2026-09-05T07:08:57.187Z | 2026-09-05T07:10:46.671Z"
"course.openapi.yaml","meTeachingAvailability","GET","/v2/me/teaching/availability","0","","",""
"course.openapi.yaml","replaceMeTeachingAvailability","PUT","/v2/me/teaching/availability","0","","",""
"course.openapi.yaml","meTeachingCourses","GET","/v2/me/teaching/courses","10","Instructor 1 | Instructor 2 | Instructor 4 | Instructor 3 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 10 | Instructor 9","200","2026-09-05T07:08:46.065Z | 2026-09-05T07:08:46.076Z | 2026-09-05T07:08:49.821Z | 2026-09-05T07:08:49.828Z | 2026-09-05T07:08:52.112Z | 2026-09-05T07:08:52.114Z | 2026-09-05T07:08:54.441Z | 2026-09-05T07:08:54.510Z | 2026-09-05T07:08:56.717Z | 2026-09-05T07:08:56.723Z"
"course.openapi.yaml","meTeachingDeadlinesUpcoming","GET","/v2/me/teaching/deadlines/upcoming","0","","",""
"course.openapi.yaml","meTeachingGradingItems","GET","/v2/me/teaching/grading-items","10","Instructor 2 | Instructor 1 | Instructor 3 | Instructor 4 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.402Z | 2026-09-05T07:08:46.423Z | 2026-09-05T07:08:50.109Z | 2026-09-05T07:08:50.112Z | 2026-09-05T07:08:52.393Z | 2026-09-05T07:08:52.398Z | 2026-09-05T07:08:54.758Z | 2026-09-05T07:08:54.791Z | 2026-09-05T07:08:56.998Z | 2026-09-05T07:08:57.001Z"
"course.openapi.yaml","meTeachingGradingQueue","GET","/v2/me/teaching/grading-queue","10","Instructor 1 | Instructor 2 | Instructor 4 | Instructor 3 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.207Z | 2026-09-05T07:08:46.215Z | 2026-09-05T07:08:49.965Z | 2026-09-05T07:08:49.967Z | 2026-09-05T07:08:52.251Z | 2026-09-05T07:08:52.253Z | 2026-09-05T07:08:54.621Z | 2026-09-05T07:08:54.654Z | 2026-09-05T07:08:56.860Z | 2026-09-05T07:08:56.864Z"
"course.openapi.yaml","meTeachingScheduleRequests","GET","/v2/me/teaching/schedule-requests","10","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.960Z | 2026-09-05T07:08:46.981Z | 2026-09-05T07:08:50.692Z | 2026-09-05T07:08:50.700Z | 2026-09-05T07:08:52.960Z | 2026-09-05T07:08:52.985Z | 2026-09-05T07:08:55.334Z | 2026-09-05T07:08:55.366Z | 2026-09-05T07:08:57.600Z | 2026-09-05T07:08:57.616Z"
"course.openapi.yaml","meTeachingStudentsNeedingSupport","GET","/v2/me/teaching/students-needing-support","10","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.826Z | 2026-09-05T07:08:46.850Z | 2026-09-05T07:08:50.556Z | 2026-09-05T07:08:50.561Z | 2026-09-05T07:08:52.823Z | 2026-09-05T07:08:52.849Z | 2026-09-05T07:08:55.197Z | 2026-09-05T07:08:55.232Z | 2026-09-05T07:08:57.466Z | 2026-09-05T07:08:57.468Z"
"course.openapi.yaml","meTeachingTodayClasses","GET","/v2/me/teaching/today-classes","10","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:46.687Z | 2026-09-05T07:08:46.718Z | 2026-09-05T07:08:50.409Z | 2026-09-05T07:08:50.422Z | 2026-09-05T07:08:52.690Z | 2026-09-05T07:08:52.715Z | 2026-09-05T07:08:55.046Z | 2026-09-05T07:08:55.094Z | 2026-09-05T07:08:57.324Z | 2026-09-05T07:08:57.326Z"
"course.openapi.yaml","meWorkQueue","GET","/v2/me/work-queue","1","Student","200","2026-09-05T07:08:59.760Z"
"course.openapi.yaml","tenantGetAlertRules","GET","/v2/tenant/alert-rules","0","","",""
"course.openapi.yaml","tenantPutAlertRules","PUT","/v2/tenant/alert-rules","0","","",""
"course.openapi.yaml","tenantListCourseOwnerships","GET","/v2/tenant/course-ownerships","0","","",""
"course.openapi.yaml","tenantGetCourseOwner","GET","/v2/tenant/courses/{courseId}/owner","0","","",""
"course.openapi.yaml","tenantTransferCourseOwner","PUT","/v2/tenant/courses/{courseId}/owner","0","","",""
"mockexam.openapi.yaml","listAdvisorMockExamTemplates","GET","/v2/advisor/mock-exam-templates","0","","",""
"mockexam.openapi.yaml","getAdvisorMockExamTemplate","GET","/v2/advisor/mock-exam-templates/{templateId}","0","","",""
"mockexam.openapi.yaml","listAdvisorStudentMockExams","GET","/v2/advisor/students/{studentUserId}/mock-exams","0","","",""
"mockexam.openapi.yaml","createAdvisorStudentMockExam","POST","/v2/advisor/students/{studentUserId}/mock-exams","0","","",""
"mockexam.openapi.yaml","getAdvisorStudentMockExam","GET","/v2/advisor/students/{studentUserId}/mock-exams/{studentMockExamId}","0","","",""
"mockexam.openapi.yaml","listInstructorWritingGrades","GET","/v2/instructor/mock-exams/writing-grades","10","Instructor 2 | Instructor 1 | Instructor 4 | Instructor 3 | Instructor 5 | Instructor 6 | Instructor 8 | Instructor 7 | Instructor 9 | Instructor 10","200","2026-09-05T07:08:47.101Z | 2026-09-05T07:08:47.120Z | 2026-09-05T07:08:50.881Z | 2026-09-05T07:08:50.887Z | 2026-09-05T07:08:53.106Z | 2026-09-05T07:08:53.123Z | 2026-09-05T07:08:55.482Z | 2026-09-05T07:08:55.505Z | 2026-09-05T07:08:57.768Z | 2026-09-05T07:08:57.783Z"
"mockexam.openapi.yaml","getInstructorWritingGrade","GET","/v2/instructor/mock-exams/writing-grades/{gradeId}","1","Instructor 2","404","2026-09-05T07:22:46.831Z"
"mockexam.openapi.yaml","gradeInstructorWriting","POST","/v2/instructor/mock-exams/writing-grades/{gradeId}","0","","",""
"mockexam.openapi.yaml","listParentStudentMockExams","GET","/v2/parent/students/{studentUserId}/mock-exams","0","","",""
"mockexam.openapi.yaml","getParentStudentMockExam","GET","/v2/parent/students/{studentUserId}/mock-exams/{studentMockExamId}","0","","",""
"mockexam.openapi.yaml","listStudentMockExams","GET","/v2/student/mock-exams","2","Student","200","2026-09-05T07:09:01.038Z | 2026-09-05T07:29:24.946Z"
"mockexam.openapi.yaml","getStudentMockExam","GET","/v2/student/mock-exams/{studentMockExamId}","1","Student","200","2026-09-05T07:10:47.140Z"
"mockexam.openapi.yaml","createStudentMockExamAttempt","POST","/v2/student/mock-exams/{studentMockExamId}/attempts","0","","",""
"mockexam.openapi.yaml","submitStudentMockExamListening","POST","/v2/student/mock-exams/{studentMockExamId}/attempts/{attemptId}/listening-submissions","0","","",""
"mockexam.openapi.yaml","submitStudentMockExamReading","POST","/v2/student/mock-exams/{studentMockExamId}/attempts/{attemptId}/reading-submissions","0","","",""
"mockexam.openapi.yaml","submitStudentMockExamWriting","POST","/v2/student/mock-exams/{studentMockExamId}/attempts/{attemptId}/writing-submissions","0","","",""
"mockexam.openapi.yaml","getStudentMockExamListening","GET","/v2/student/mock-exams/{studentMockExamId}/listening","0","","",""
"mockexam.openapi.yaml","getStudentMockExamListeningPartAudio","GET","/v2/student/mock-exams/{studentMockExamId}/listening/parts/{partSeq}/audio","0","","",""
"mockexam.openapi.yaml","getStudentMockExamReading","GET","/v2/student/mock-exams/{studentMockExamId}/reading","0","","",""
"mockexam.openapi.yaml","getStudentMockExamReadingQuestionImage","GET","/v2/student/mock-exams/{studentMockExamId}/reading/passages/{passageSeq}/questions/{sortOrder}/image","0","","",""
"mockexam.openapi.yaml","getStudentMockExamWriting","GET","/v2/student/mock-exams/{studentMockExamId}/writing","0","","",""
"mockexam.openapi.yaml","getStudentMockExamWritingTaskImage","GET","/v2/student/mock-exams/{studentMockExamId}/writing/tasks/{taskSeq}/image","0","","",""
"mockexam.openapi.yaml","listSystemMockExams","GET","/v2/system/mock-exams","0","","",""
"mockexam.openapi.yaml","getSystemMockExam","GET","/v2/system/mock-exams/{testId}","0","","",""
"mockexam.openapi.yaml","getSystemMockExamListening","GET","/v2/system/mock-exams/{testId}/listening","0","","",""
"mockexam.openapi.yaml","getSystemMockExamListeningPartAudio","GET","/v2/system/mock-exams/{testId}/listening/parts/{partSeq}/audio","0","","",""
"mockexam.openapi.yaml","getSystemMockExamReading","GET","/v2/system/mock-exams/{testId}/reading","0","","",""
"mockexam.openapi.yaml","getSystemMockExamReadingQuestionImage","GET","/v2/system/mock-exams/{testId}/reading/passages/{passageSeq}/questions/{sortOrder}/image","0","","",""
"mockexam.openapi.yaml","getSystemMockExamWriting","GET","/v2/system/mock-exams/{testId}/writing","0","","",""
"mockexam.openapi.yaml","getSystemMockExamWritingTaskImage","GET","/v2/system/mock-exams/{testId}/writing/tasks/{taskSeq}/image","0","","",""
"mockexam.openapi.yaml","listTenantMockExamTemplates","GET","/v2/tenant/mock-exam-templates","0","","",""
"mockexam.openapi.yaml","createTenantMockExamTemplate","POST","/v2/tenant/mock-exam-templates","0","","",""
"mockexam.openapi.yaml","getTenantMockExamTemplate","GET","/v2/tenant/mock-exam-templates/{templateId}","0","","",""
"mockexam.openapi.yaml","deleteTenantMockExamDraft","DELETE","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}","0","","",""
"mockexam.openapi.yaml","getTenantMockExamVersion","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}","0","","",""
"mockexam.openapi.yaml","archiveTenantMockExamVersion","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/archive","0","","",""
"mockexam.openapi.yaml","copyTenantMockExamVersion","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/copies","0","","",""
"mockexam.openapi.yaml","uploadTenantMockExamMedia","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/media","0","","",""
"mockexam.openapi.yaml","listTenantMockExamMedia","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/media","0","","",""
"mockexam.openapi.yaml","previewTenantMockExamMedia","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/media/{mediaId}/preview","0","","",""
"mockexam.openapi.yaml","deleteTenantMockExamMedia","DELETE","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/media/{mediaId}","0","","",""
"mockexam.openapi.yaml","getTenantMockExamListening","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/listening","0","","",""
"mockexam.openapi.yaml","createTenantMockExamListening","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/listening","0","","",""
"mockexam.openapi.yaml","getTenantMockExamListeningPartAudio","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/listening/parts/{partSeq}/audio","0","","",""
"mockexam.openapi.yaml","publishTenantMockExamVersion","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/publish","0","","",""
"mockexam.openapi.yaml","getTenantMockExamReading","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/reading","0","","",""
"mockexam.openapi.yaml","createTenantMockExamReading","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/reading","0","","",""
"mockexam.openapi.yaml","getTenantMockExamReadingQuestionImage","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/reading/passages/{passageSeq}/questions/{sortOrder}/image","0","","",""
"mockexam.openapi.yaml","getTenantMockExamWriting","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/writing","0","","",""
"mockexam.openapi.yaml","createTenantMockExamWriting","POST","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/writing","0","","",""
"mockexam.openapi.yaml","getTenantMockExamWritingTaskImage","GET","/v2/tenant/mock-exam-templates/{templateId}/versions/{versionId}/writing/tasks/{taskSeq}/image","0","","",""
"notification.openapi.yaml","adminNotificationDigestRun","POST","/v2/admin/notifications/digest/run","0","","",""
"notification.openapi.yaml","meNotificationList","GET","/v2/me/notifications","23","Counsellor 1 | Counsellor 2 | Counsellor 4 | Counsellor 3 | Advisor 2 | Advisor 1 | Advisor 4 | Advisor 3 | Advisor 5 | Advisor 6 | Advisor 8 | Advisor 7 | Instructor 1 | Instructor 2 | Instructor 3 | Instructor 4 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 10 | Instructor 9 | Student","200","2026-09-05T07:08:33.453Z | 2026-09-05T07:08:33.456Z | 2026-09-05T07:08:34.554Z | 2026-09-05T07:08:34.557Z | 2026-09-05T07:08:35.597Z | 2026-09-05T07:08:35.601Z | 2026-09-05T07:08:40.568Z | 2026-09-05T07:08:40.570Z | 2026-09-05T07:08:42.162Z | 2026-09-05T07:08:42.164Z | 2026-09-05T07:08:43.824Z | 2026-09-05T07:08:43.826Z | 2026-09-05T07:08:45.531Z | 2026-09-05T07:08:45.541Z | 2026-09-05T07:08:49.409Z | 2026-09-05T07:08:49.414Z | 2026-09-05T07:08:51.691Z | 2026-09-05T07:08:51.693Z | 2026-09-05T07:08:53.942Z | 2026-09-05T07:08:53.948Z | 2026-09-05T07:08:56.294Z | 2026-09-05T07:08:56.297Z | 2026-09-05T07:08:58.699Z"
"notification.openapi.yaml","meNotificationMarkAllRead","PATCH","/v2/me/notifications/read-all","0","","",""
"notification.openapi.yaml","meNotificationUnreadCount","GET","/v2/me/notifications/unread-count","23","Counsellor 2 | Counsellor 1 | Counsellor 4 | Counsellor 3 | Advisor 1 | Advisor 2 | Advisor 3 | Advisor 4 | Advisor 5 | Advisor 6 | Advisor 8 | Advisor 7 | Instructor 1 | Instructor 2 | Instructor 3 | Instructor 4 | Instructor 6 | Instructor 5 | Instructor 8 | Instructor 7 | Instructor 10 | Instructor 9 | Student","200","2026-09-05T07:08:33.590Z | 2026-09-05T07:08:33.592Z | 2026-09-05T07:08:34.689Z | 2026-09-05T07:08:34.691Z | 2026-09-05T07:08:35.732Z | 2026-09-05T07:08:35.734Z | 2026-09-05T07:08:40.699Z | 2026-09-05T07:08:40.701Z | 2026-09-05T07:08:42.314Z | 2026-09-05T07:08:42.316Z | 2026-09-05T07:08:43.963Z | 2026-09-05T07:08:43.969Z | 2026-09-05T07:08:45.698Z | 2026-09-05T07:08:45.723Z | 2026-09-05T07:08:49.547Z | 2026-09-05T07:08:49.549Z | 2026-09-05T07:08:51.833Z | 2026-09-05T07:08:51.835Z | 2026-09-05T07:08:54.135Z | 2026-09-05T07:08:54.150Z | 2026-09-05T07:08:56.442Z | 2026-09-05T07:08:56.446Z | 2026-09-05T07:08:58.847Z"
"notification.openapi.yaml","meNotificationMarkRead","PATCH","/v2/me/notifications/{notificationId}/read","0","","",""
"parent.openapi.yaml","counsellorListParentLinks","GET","/v2/counsellor/student-intakes/{intakeId}/parent-links","0","","",""
"parent.openapi.yaml","counsellorCreateOrReuseParentLink","POST","/v2/counsellor/student-intakes/{intakeId}/parent-links","0","","",""
"parent.openapi.yaml","counsellorLinkExistingParent","PUT","/v2/counsellor/student-intakes/{intakeId}/parent-links/{parentUserId}","0","","",""
"parent.openapi.yaml","counsellorUnlinkParent","DELETE","/v2/counsellor/student-intakes/{intakeId}/parent-links/{parentUserId}","0","","",""
"parent.openapi.yaml","tenantListParentLinks","GET","/v2/tenant/students/{studentUserId}/parent-links","0","","",""
"parent.openapi.yaml","tenantCreateOrReuseParentLink","POST","/v2/tenant/students/{studentUserId}/parent-links","0","","",""
"parent.openapi.yaml","tenantLinkParent","PUT","/v2/tenant/students/{studentUserId}/parent-links/{parentUserId}","0","","",""
"parent.openapi.yaml","tenantUnlinkParent","DELETE","/v2/tenant/students/{studentUserId}/parent-links/{parentUserId}","0","","",""
"parent.openapi.yaml","advisorListParentLinks","GET","/v2/advisor/students/{studentUserId}/parent-links","2","Advisor 1","200","2026-09-05T07:09:34.479Z | 2026-09-05T07:09:34.626Z"
"parent.openapi.yaml","parentListLinkedStudents","GET","/v2/parent/linked-students","1","Student","403","2026-09-05T07:19:29.868Z"
"parent.openapi.yaml","parentGetStudentDashboard","GET","/v2/parent/students/{studentUserId}/dashboard","0","","",""
"parent.openapi.yaml","parentGetStudentProfile","GET","/v2/parent/students/{studentUserId}/profile","0","","",""
"parent.openapi.yaml","parentGetStudentStudyPlan","GET","/v2/parent/students/{studentUserId}/study-plan","0","","",""
"parent.openapi.yaml","parentListStudentCourses","GET","/v2/parent/students/{studentUserId}/courses","0","","",""
"parent.openapi.yaml","parentListStudentAssignments","GET","/v2/parent/students/{studentUserId}/assignments","0","","",""
"parent.openapi.yaml","parentListStudentCalendar","GET","/v2/parent/students/{studentUserId}/calendar","0","","",""
"parent.openapi.yaml","parentListStudentAttendance","GET","/v2/parent/students/{studentUserId}/attendance","0","","",""
"parent.openapi.yaml","parentGetStudentHours","GET","/v2/parent/students/{studentUserId}/hours","0","","",""
"parent.openapi.yaml","parentGetStudentRisk","GET","/v2/parent/students/{studentUserId}/risk","0","","",""
"parent.openapi.yaml","parentListStudentReports","GET","/v2/parent/students/{studentUserId}/reports","0","","",""
"parent.openapi.yaml","parentGetStudentReport","GET","/v2/parent/students/{studentUserId}/reports/{reportId}","0","","",""
"parent.openapi.yaml","listParentScheduleRequests","GET","/v2/parent/students/{studentUserId}/schedule-requests","0","","",""
"parent.openapi.yaml","createParentScheduleRequest","POST","/v2/parent/students/{studentUserId}/schedule-requests","0","","",""
"parent.openapi.yaml","parentListNotifications","GET","/v2/parent/notifications","0","","",""
"parent.openapi.yaml","parentNotificationUnreadCount","GET","/v2/parent/notifications/unread-count","0","","",""
"parent.openapi.yaml","parentMarkNotificationRead","PATCH","/v2/parent/notifications/{notificationId}/read","0","","",""
"parent.openapi.yaml","parentMarkAllNotificationsRead","PATCH","/v2/parent/notifications/read-all","0","","",""
"parent.openapi.yaml","parentListConversationMessages","GET","/v2/parent/students/{studentUserId}/conversation/messages","0","","",""
"parent.openapi.yaml","parentSendConversationMessage","POST","/v2/parent/students/{studentUserId}/conversation/messages","0","","",""
"parent.openapi.yaml","parentMarkConversationRead","POST","/v2/parent/students/{studentUserId}/conversation/read","0","","",""
"parent.openapi.yaml","parentPreviewConversationAttachment","GET","/v2/parent/students/{studentUserId}/conversation/attachments/{attachmentId}/preview","0","","",""
"parent.openapi.yaml","parentDownloadConversationAttachment","GET","/v2/parent/students/{studentUserId}/conversation/attachments/{attachmentId}/download","0","","",""
"quiz.openapi.yaml","quizList","GET","/v2/courses/{courseId}/quizzes","2","Instructor 1 | Student","200","2026-09-05T07:08:48.338Z | 2026-09-05T07:09:01.785Z"
"quiz.openapi.yaml","quizCreate","POST","/v2/courses/{courseId}/quizzes","0","","",""
"quiz.openapi.yaml","quizDelete","DELETE","/v2/courses/{courseId}/quizzes/{quizId}","0","","",""
"quiz.openapi.yaml","quizGet","GET","/v2/courses/{courseId}/quizzes/{quizId}","0","","",""
"quiz.openapi.yaml","quizPatch","PATCH","/v2/courses/{courseId}/quizzes/{quizId}","0","","",""
"quiz.openapi.yaml","quizListAttempts","GET","/v2/courses/{courseId}/quizzes/{quizId}/attempts","1","Student","200","2026-09-05T07:10:46.825Z"
"quiz.openapi.yaml","quizStartAttempt","POST","/v2/courses/{courseId}/quizzes/{quizId}/attempts","0","","",""
"quiz.openapi.yaml","quizGetCurrentAttempt","GET","/v2/courses/{courseId}/quizzes/{quizId}/attempts/current","0","","",""
"quiz.openapi.yaml","quizGetAttempt","GET","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}","0","","",""
"quiz.openapi.yaml","quizAutosave","PUT","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}/answers/{questionId}","0","","",""
"quiz.openapi.yaml","quizGradeAnswer","PUT","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}/answers/{questionId}/grade","0","","",""
"quiz.openapi.yaml","quizGetReceipt","GET","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}/receipt","0","","",""
"quiz.openapi.yaml","quizAttemptResult","GET","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}/result","0","","",""
"quiz.openapi.yaml","quizSubmitAttempt","POST","/v2/courses/{courseId}/quizzes/{quizId}/attempts/{attemptId}/submit","0","","",""
"quiz.openapi.yaml","quizReleaseGrades","POST","/v2/courses/{courseId}/quizzes/{quizId}/grades/release","0","","",""
"quiz.openapi.yaml","quizRetractGrades","POST","/v2/courses/{courseId}/quizzes/{quizId}/grades/retract","0","","",""
"quiz.openapi.yaml","quizGradingSummary","GET","/v2/courses/{courseId}/quizzes/{quizId}/grading-summary","0","","",""
"quiz.openapi.yaml","quizListShortAnswers","GET","/v2/courses/{courseId}/quizzes/{quizId}/grading/questions/{questionId}/answers","0","","",""
"quiz.openapi.yaml","quizMyAttempts","GET","/v2/courses/{courseId}/quizzes/{quizId}/my-attempts","1","Student","200","2026-09-05T07:10:46.980Z"
"quiz.openapi.yaml","quizMyResult","GET","/v2/courses/{courseId}/quizzes/{quizId}/my-result","0","","",""
"quiz.openapi.yaml","quizPublish","POST","/v2/courses/{courseId}/quizzes/{quizId}/publish","0","","",""
"quiz.openapi.yaml","quizQuestionList","GET","/v2/courses/{courseId}/quizzes/{quizId}/questions","0","","",""
"quiz.openapi.yaml","quizQuestionCreate","POST","/v2/courses/{courseId}/quizzes/{quizId}/questions","0","","",""
"quiz.openapi.yaml","quizQuestionReorder","PUT","/v2/courses/{courseId}/quizzes/{quizId}/questions/order","0","","",""
"quiz.openapi.yaml","quizQuestionDelete","DELETE","/v2/courses/{courseId}/quizzes/{quizId}/questions/{questionId}","0","","",""
"quiz.openapi.yaml","quizQuestionGet","GET","/v2/courses/{courseId}/quizzes/{quizId}/questions/{questionId}","0","","",""
"quiz.openapi.yaml","quizQuestionPatch","PATCH","/v2/courses/{courseId}/quizzes/{quizId}/questions/{questionId}","0","","",""
